Name,Unique-ID,mean_decision_days
Palwal,199,463.1656155662493
Nainital,345,318.380463565334
Garhwal,350,354.2208636263494
Tehri Garhwal,353,233.30453531598516
Udham Singh Nagar,357,457.5633904189335
Dehradun,346,432.2602551648913
Uttarkashi,349,209.0437797147385
Almora,347,209.33097731239093
Chamoli,356,273.19243657252275
Hardwar,351,435.9479898770789
Champawat,348,151.9061435973353
Bageshwar,354,135.09475425330814
Pithoragarh,355,189.0500040653712
Rudraprayag,352,814.122866894198
Maldah,381,315.4467874580285
Hugli,395,531.4364031001975
Kolkata,380,698.7263175417638
Jalpaiguri,384,419.10216778603984
Koch Bihar,393,377.483880147305
Paschim Medinipur,394,387.8883001542047
Birbhum,389,654.6860986547085
Purba Medinipur,386,621.1810932265709
Puruliya,392,435.0008717920776
Haora,387,363.0728164949938
Murshidabad,379,483.8225484555998
Dakshin Dinajpur,378,343.110083501766
Darjiling,383,494.6956485907368
Barddhaman,390,498.8670150494579
Bankura,391,666.3587448900674
South Twenty Four Parganas,382,638.8903976848638
Uttar Dinajpur,385,429.7332914572864
Nadia,377,475.19454266988
Kalimpong,718,309.3217463848721
Paschim Barddhaman,717,539.885138237349
Jhargram,716,742.6144329896907
Gandhinagar,116,434.628795345531
Ahmadabad,89,471.4949626631492
Surat,111,582.0666055279241
Mahesana,104,415.9090474694605
Rajkot,101,450.4146447529181
Amreli,99,362.3754983689743
Anand,97,450.0974638099181
Banas Kantha,95,396.4800217514658
Bharuch,106,285.1441770403604
Bhavnagar,88,371.3509938160294
Dohad,100,460.2702682783019
Jamnagar,112,446.104991204116
Junagadh,108,415.5585228658649
Kheda,120,355.93883669263096
Kachchh,102,442.23048065970494
Panch Mahals,119,522.5925316198012
Patan,105,358.9038569779533
Sabar Kantha,94,366.5938316407051
Surendranagar,96,406.4225642813242
Vadodara,92,463.6386537723825
Navsari,110,234.0648162703871
Narmada,98,336.15994166261544
Tapi,113,417.4186820845056
Valsad,115,409.0207709126245
Porbandar,114,328.3951658416241
Gir Somnath,107,427.0494486581443
Aravali,93,336.51389155010537
Morbi,118,284.7488598155731
Devbhumi Dwarka,109,413.1569950415469
Chhota Udaipur,90,273.76196383658487
Mahisagar,117,501.374613003096
Batod,91,292.9480296784831
Korba,339,401.7271442775656
Raipur,334,280.0668160358486
Surguja,327,608.6579955636217
Dhamtari,338,263.9796050872704
Raigarh,340,474.01531367086176
Raigarh,475,474.01531367086176
Durg,331,480.17533210553273
Kabeerdham,323,285.4662232996986
Rajnandgaon,344,378.21897997290665
Koriya,337,516.2941020718872
Mahasamund,342,385.8467329714308
Uttar Bastar Kanker,325,325.949392971246
Bastar,319,342.3495193901226
Jashpur,341,337.0890027058369
Dakshin Bastar Dantewada,326,297.6432720232333
Janjgir-Champa,343,429.7152227384531
Balod,336,196.3692663341039
Bemetra,318,473.5348837209302
Surajpur,332,1023.6142391810145
Kondagaon,329,494.4024465778879
Baloda Bazar,335,374.8077687387444
Mungeli,320,433.67708790726266
Aizawl,277,327.0883740883741
Lunglei,271,219.25797872340425
West Tripura,301,488.6111237294873
North Tripura,304,548.032352566552
South Tripura,306,606.1179667519182
Gomati,305,479.67650240975706
Khowai,299,531.7774690578428
Dhalai,302,367.0278193239605
East Khasi Hills,309,217.32455562870308
West Garo Hills,312,230.16884286357495
West Jaintia Hills,315,984.2558139534884
East Garo Hills,316,214.89804772234277
Ribhoi,308,1194.361581920904
West Khasi Hills,310,1540.0
Ludhiana,406,438.9212435779213
Jalandhar,408,285.16901173813824
Rupnagar,412,470.71173799817296
Fatehgarh Sahib,401,345.9490067432112
Patiala,398,341.66837999715403
Firozpur,413,395.2647283249596
Amritsar,404,414.8786688975021
Faridkot,405,447.6766820205447
Gurdaspur,397,572.1530439716312
Kapurthala,400,351.6016279444829
Moga,410,431.2028674033915
Mansa,403,344.5265962347594
Muktsar,409,384.5121367774955
Shahid Bhagat Singh Nagar,417,377.2308877090619
Barnala,415,409.32685398625216
Bathinda,407,297.5479277100264
Hoshiarpur,411,547.2798291513061
Sangrur,402,401.15570098383694
Pathankot,396,495.3600691965512
Tarn Taran,399,457.0544914650876
Sahibzada Ajit Singh Nagar,416,467.80644199224577
Fazilka,414,401.5781426789289
Jabalpur,7,395.4790760916633
Narsimhapur,8,372.6677162410858
Hoshangabad,5,452.444670002078
Harda,19,429.0863860514266
Umaria,33,392.7807705421071
Dindori,12,378.914193867458
Panna,9,326.12507335065806
Alirajpur,39,310.764136866478
Jhabua,30,407.08516783072525
Khandwa (East Nimar),32,287.4003787527645
Shahdol,49,450.9632479374729
Sheopur,27,501.0725257158744
Datia,46,382.9851208014143
Rajgarh,42,503.35464021259577
Morena,28,507.99730833596647
Khargone (West Nimar),26,519.8048751873819
Neemuch,21,550.100284790002
Barwani,14,432.8782770335235
Shajapur,44,552.4686597617277
Chhindwara,3,364.6742108444612
Sidhi,38,560.1662570224719
Anuppur,48,474.1659504886489
Shivpuri,45,468.28081666443467
Raisen,2,516.3663556058023
Sehore,6,485.802581704484
Balaghat,13,356.48596158226405
Damoh,35,448.4678301441811
Vidisha,50,418.18030908202303
Bhind,29,448.2352486663992
Guna,23,445.2965314632297
Singrauli,40,654.5561011213589
Satna,15,583.4280955940551
Seoni,31,389.6950287364705
Katni,37,368.5306824012314
Mandsaur,25,545.89283227896
Tikamgarh,22,426.9759683610562
Betul,4,372.5347730776643
Dhar,36,436.1733859146405
Chhatarpur,16,509.1492770134081
Dewas,24,509.6935591839111
Mandla,43,363.5276369532645
Ratlam,18,482.7402817440256
Sagar,20,386.9751831703405
Gwalior,34,367.5887975652876
Ujjain,10,487.6382540521615
Rewa,11,564.0405635648755
Indore,17,394.3788765766799
Ashoknagar,1,782.7049442559379
Burhanpur,47,392.485421903052
Bhopal,41,287.25869314950694
South District,374,77.09009952854898
North District,373,120.85547290116897
West District,375,56.37776659959759
East District,376,159.24589153656532
Imphal East,285,145.87592983235265
Imphal West,287,226.5743015545168
Bishnupur,282,83.3424638487208
Thoubal,284,104.9170100058858
Senapati,701,169.78311258278146
Churachandpur,283,79.81245421245421
Chandel,279,115.32075471698111
Tamenglong,280,124.68619246861924
North East,711,367.59722575889566
Shahdara,714,431.8408746565317
East,706,434.9904036680337
North,710,349.9023934318073
North West,704,355.18666687926526
South West,707,369.0035597469039
New Delhi,705,422.7633528818262
Central,713,449.69739611424495
West,708,441.1717917831466
South,709,346.96848862089087
South East,712,354.8029935636321
Chandigarh,218,429.8503160799992
Adilabad,664,476.41716265748937
Hydrabad,656,526.323030287328
Karimnagar,658,815.0657986840263
Khammam,674,551.6116473858173
Mahabubnagar,684,644.6215393008138
Medak,660,646.2448315648112
Nalgonda,662,717.131602905569
Nizamabad,659,587.4897533175395
Rangareddy,661,569.8636556896581
Warangal (R),676,666.8381873313257
North Goa,219,321.6027329499784
South Goa,220,212.6488857050504
Diu,87,176.54238921001928
Daman,86,309.7608208955224
Dadra & Nagar Haveli,121,549.7494739173774
