year,state_code,dist_code,mean_decision_days
2018,9,40,86.33155555555555
2018,10,1,92.82430316316943
2018,10,2,57.087555814404965
2018,10,3,43.86342909256726
2018,10,4,27.87895555939823
2018,10,5,140.4080808080808
2018,10,6,41.668463006624
2018,10,7,51.16104010577346
2018,10,8,65.26335133513352
2018,10,9,40.987800139871005
2018,10,10,103.44977084107518
2018,10,11,52.07004801920768
2018,10,12,69.15771913861086
2018,10,13,141.1005356407087
2018,10,14,32.0
2018,10,15,38.1822218023805
2018,10,16,43.9388135142325
2018,10,17,54.96467958271237
2018,10,18,90.31281487588166
2018,10,19,80.32821202227771
2018,10,20,104.66256476683938
2018,10,21,45.86541837331773
2018,10,22,44.63642269380684
2018,10,23,19.173265758631608
2018,10,24,101.2812570909916
2018,10,25,30.967753450737742
2018,10,26,51.540170085042526
2018,10,27,34.589770944461876
2018,10,28,104.06212121212121
2018,10,29,28.456837043356852
2018,10,30,56.95375185735513
2018,10,31,60.922271169848266
2018,10,32,120.04406677695893
2018,10,33,85.6790366815221
2018,11,1,102.71665062560155
2018,11,2,94.45482156416097
2018,11,3,131.25794621026895
2018,11,4,44.59173590837638
2018,11,5,92.05934343434343
2018,11,6,64.22257425742573
2018,11,7,91.24646464646464
2018,11,8,76.02834366696192
2018,11,9,112.62633451957296
2018,11,10,148.4590368980613
2018,11,11,61.399377593360995
2018,11,12,52.478170478170476
2018,11,13,108.55365474339035
2018,11,14,172.5254739336493
2018,11,15,81.81654228855722
2018,11,16,58.48798235942668
2018,11,17,72.58922030350602
2018,11,18,90.41974656810982
2018,11,19,85.5976401179941
2018,11,20,164.8514619883041
2018,11,21,87.77212806026365
2018,11,22,77.4930612244898
2018,11,23,90.33092948717949
2018,11,24,71.64683544303797
2018,11,26,120.25940594059405
2018,11,27,88.4316338354577
2018,11,29,47.575945443273405
2018,11,30,71.07142857142857
2018,11,31,91.4506172839506
2018,11,32,166.55038759689924
2018,12,1,110.80882352941175
2018,12,2,57.78280680437424
2018,12,3,81.90326481257559
2018,12,4,45.90575916230366
2018,12,5,78.09149623250808
2018,12,6,80.32105263157895
2018,12,7,70.3718309859155
2018,12,8,79.54961089494164
2018,12,9,156.86970684039088
2018,12,10,34.63115264797507
2018,12,11,83.53591160220994
2018,12,12,128.0863309352518
2018,12,13,152.5459140690817
2018,12,14,96.59574468085107
2018,12,15,49.127835794022324
2018,12,16,47.325842696629216
2018,12,17,52.0235294117647
2018,12,18,149.64532019704433
2018,12,19,114.82589789015944
2018,12,20,90.5568400770713
2018,12,21,86.45856873822976
2018,12,22,162.41056910569105
2018,13,1,37.110713533992836
2018,13,2,45.14569830199374
2018,13,3,38.24642115906551
2018,13,4,102.25058566927862
2018,13,5,74.75357940365164
2018,13,6,41.36974405128448
2018,13,7,88.24790511795797
2018,13,8,61.508729167301425
2018,13,9,45.0304607109448
2018,13,10,89.51254309201803
2018,13,11,123.37760416666667
2018,13,12,72.50716288554678
2018,13,13,68.94461990451707
2018,13,14,68.9238661424873
2018,13,15,65.50442140085248
2018,13,16,39.27083413378414
2018,13,17,49.946490829164766
2018,13,18,55.51409611564309
2018,13,19,93.75119494708092
2018,13,20,60.15086098699734
2018,13,21,62.432680107147895
2018,13,22,55.64668234064786
2018,13,23,81.21634014172572
2018,13,24,73.706224945163
2018,13,25,49.60534647765705
2018,13,26,89.25066231013777
2018,13,27,64.50740842574773
2018,13,28,72.19373454245672
2018,13,29,43.03621103117506
2018,13,30,69.4480213172014
2018,13,31,79.52645085768313
2018,13,33,60.24288072637227
2018,13,34,89.81628051624942
2018,13,35,93.26910150123236
2018,13,36,72.41087487344411
2018,13,37,133.5264730999146
2018,13,38,55.84498770827642
2018,13,39,72.9370312065932
2018,13,40,124.88194444444444
2018,13,41,169.09507137085913
2018,13,42,66.3815751235106
2018,13,43,45.67456927239072
2018,13,44,62.64697716894977
2018,13,45,98.72322445879226
2018,13,46,36.1950250220783
2018,13,47,124.20893098782139
2018,13,48,47.68335391177461
2018,13,49,28.231091147504387
2018,13,50,66.15559482689373
2018,13,51,88.82638704539421
2018,13,52,84.24238935789205
2018,13,53,64.96540321236036
2018,13,54,33.73996775145913
2018,13,55,87.86861966791524
2018,13,56,55.25644699140402
2018,13,57,115.74207479555271
2018,13,58,65.14819126819127
2018,13,59,45.04536469658035
2018,13,60,69.89405460207111
2018,13,61,49.866997953814675
2018,13,62,99.99851601325236
2018,13,63,78.10497900419915
2018,13,64,53.13228585909783
2018,13,65,107.38800083039236
2018,13,66,45.33630515743143
2018,13,67,70.89527513684817
2018,13,68,53.609514058439004
2018,13,69,85.09921313718782
2018,13,70,113.80968889699845
2018,13,71,93.70806241872562
2018,13,73,79.24597056762438
2018,13,74,121.76790440898435
2018,13,75,277.4462102689487
2018,13,76,243.4419486872317
2018,14,1,82.44086909826923
2018,14,2,86.80740271062852
