state_code,dist_code,mean_decision_days
17,24,203.1638534609999
17,25,136.46090036252704
17,26,178.56664170722576
17,27,207.40366003127508
17,28,156.10242462947875
17,29,155.5005701950882
17,30,192.06407554169127
17,31,138.82822241283037
17,32,130.3564275495606
17,33,153.40510161758607
17,34,123.34782103428239
17,35,166.94861272370582
17,36,117.30357796638376
17,37,238.9504707327057
17,38,151.40284483883596
17,39,130.36592657179335
17,40,198.13409402882635
17,41,124.14085638109923
17,42,215.96468699839485
17,43,103.46585950464016
18,1,170.38129411300815
18,2,97.07040940413458
18,3,103.32047463094317
18,4,195.14008311295805
18,5,110.698715682809
18,6,150.15867828612926
18,7,158.64848249889232
18,9,145.4472756645616
18,10,156.39153571652162
18,11,308.42820057384887
18,12,210.6214551442337
18,13,160.4296804113318
18,15,178.72617091207889
18,16,181.28524178832117
18,17,170.03403625601183
18,18,180.9303751195096
18,19,113.28117091854182
18,20,225.07121566957633
18,21,311.49188012723926
18,22,240.10560571068655
18,23,152.21789654548743
18,24,229.48165436387322
18,25,236.05597543693906
19,1,265.5786495662014
19,2,53.392
20,1,258.2385192945696
20,2,299.0259934269495
20,3,308.78355704697987
20,5,254.02488687782807
20,6,271.5502670071976
20,9,309.9304257528557
20,10,326.11503416856493
20,11,219.91489361702128
21,1,89.32406566538596
21,2,118.28082191780823
21,3,163.109756097561
21,4,73.38329238329239
21,5,236.7530864197531
21,7,
22,1,227.96884313478571
22,2,138.8110571376794
22,3,213.08215601520118
22,4,152.91227076251627
22,5,176.06961739102346
22,6,209.5998297550364
22,8,216.91758297093156
22,9,219.27698476343224
22,10,251.05661514217516
22,11,166.02924834715512
22,12,204.7945140636289
22,13,166.18498309034587
22,14,205.53889660967647
22,15,157.44690170173044
22,16,169.7223173728498
22,17,134.8072045786107
22,18,253.17417470967166
22,19,214.19653145719332
22,21,240.50419714299738
22,23,240.0658358509567
22,24,258.2596269873193
22,26,212.94032681057092
23,1,140.70585744157117
23,2,182.8016852405545
23,3,171.34858941410874
23,4,178.92360619895825
23,5,111.81343540933858
23,6,148.8129590766002
