Name,Unique-ID,mean_decision_days
Pithoragarh,355,62.95099540581929
Rudraprayag,352,352.8389261744967
Maldah,381,108.52317880794702
Hugli,395,96.9513132607303
Kolkata,380,132.3544923714447
Jalpaiguri,384,87.84464856230032
Koch Bihar,393,48.343850978901344
Paschim Medinipur,394,55.57071090847686
Birbhum,389,108.69789915966386
Purba Medinipur,386,108.18236658932716
Puruliya,392,44.15231187669991
Haora,387,42.72413138408961
Murshidabad,379,119.48566675198362
Dakshin Dinajpur,378,33.406410707995775
Darjiling,383,153.33875138529737
Barddhaman,390,92.83932834633136
Bankura,391,69.75008701705535
South Twenty Four Parganas,382,134.55957824723177
Uttar Dinajpur,385,58.86943927167391
Nadia,377,112.98075284090908
Kalimpong,718,90.7539393939394
Paschim Barddhaman,717,86.9763958898798
Jhargram,716,205.5696335078534
Gandhinagar,116,70.90366776081062
Ahmadabad,89,153.77238722465555
Surat,111,76.65773408744052
Mahesana,104,127.12117854444725
Rajkot,101,174.58316943329925
Amreli,99,80.94030605792335
Anand,97,77.5312580728494
Banas Kantha,95,83.71174692516156
Bharuch,106,77.2549581155581
Bhavnagar,88,65.57575498697193
Dohad,100,142.83119524405507
Jamnagar,112,91.3820558050032
Junagadh,108,89.13308541807528
Kheda,120,62.74360313315927
Kachchh,102,66.71452145214522
Panch Mahals,119,94.47639565380292
Patan,105,143.3317910447761
Sabar Kantha,94,65.83089792460822
Surendranagar,96,94.3190714225197
Vadodara,92,158.51572743419987
Navsari,110,43.27761435505221
Narmada,98,88.01806825786304
Tapi,113,134.5203187250996
Valsad,115,87.95346020761245
Porbandar,114,61.461381521422325
Gir Somnath,107,230.7791632031033
Aravali,93,124.36062840091276
Morbi,118,69.89681424221129
Devbhumi Dwarka,109,94.62291079812206
Chhota Udaipur,90,102.68279569892474
Mahisagar,117,82.16166460396039
Batod,91,128.1770428015564
Korba,339,25.36278977610461
Raipur,334,29.84291651667375
Surguja,327,68.52298352124892
Dhamtari,338,49.09118881118881
Raigarh,340,39.79426523297491
Raigarh,475,39.79426523297491
Durg,331,47.46345919610231
Kabeerdham,323,54.07478202548625
Rajnandgaon,344,46.06930693069307
Koriya,337,111.47887323943662
Mahasamund,342,48.11333333333334
Uttar Bastar Kanker,325,65.23150224215246
Bastar,319,71.23172550969667
Jashpur,341,55.079202861522745
Dakshin Bastar Dantewada,326,56.89906542056075
Janjgir-Champa,343,51.09319787985866
