Old_name,id_1,Name,id_2
Kottayam,366,Kottayam,366
Kozhikode,365,Kozhikode,365
Kra Daadi,688,Kra Daadi,688
Krishna,123,Krishna,123
Krishnagiri,643,Krishnagiri,643
Kulgam,66,Kulgam,66
Kullu,55,Kullu,55
Kupwara,80,Kupwara,80
Kurnool,129,Kurnool,129
Kurukshetra,207,Kurukshetra,207
Kurung Kumey,235,Kurung Kumey,235
Kushinagar,614,Kushinagar,614
Lahul & Spiti,60,Lahul & Spiti,60
Lakhimpur,251,Lakhimpur,251
Lakhisarai,192,Lakhisarai,192
Lakshadweep,372,Lakshadweep,372
Lalitpur,641,Lalitpur,641
Latehar,138,Latehar,138
Latur,450,Latur,450
Lawngtlai,273,Lawngtlai,273
Leh,71,Leh(Ladakh),71
Leparada,725,Leparada,725
Lohardaga,146,Lohardaga,146
Lohit,224,Lohit,224
Longding,228,Longding,228
Longleng,291,Longleng,291
Lower Dibang Valley,237,Lower Dibang Valley,237
Lower Siang,726,Lower Siang,726
Lower Subansiri,229,Lower Subansiri,229
Lucknow,592,Lucknow,592
Ludhiana,406,Ludhiana,406
Lunglei,271,Lunglei,271
Madhepura,162,Madhepura,162
Madhubani,180,Madhubani,180
Madurai,553,Madurai,553
Mahabubabad,675,Mahabubabad,675
Mahabubnagar,684,Mahabubnagar,684
Hathras,580,Mahamaya Nagar,580
Mahasamund,342,Mahasamund,342
Mahe,270,Mahe,270
Narnaul,210,Mahendragarh,210
Mahesana,104,Mahesana,104
Mahisagar at Lunawada,117,Mahisagar,117
Mahoba,611,Mahoba,611
Maharajganj,612,Mahrajganj,612
Mainpuri,585,Mainpuri,585
Majuli,690,Majuli,690
Malappuram,370,Malappuram,370
Malda,381,Maldah,381
Malkangiri,495,Malkangiri,495
Mamit,278,Mamit,278
Mancherial,657,Mancherial,657
Mandi,61,Mandi,61
Mandla,43,Mandla,43
Mandsaur,25,Mandsaur,25
MANDYA,418,Mandya,418
Mansa,403,Mansa,403
Mathura,576,Mathura,576
Mau,618,Mau,618
Mayiladuthurai,734,Mayiladuthurai,734
Mayurbhanj,494,Mayurbhanj,494
Medak,660,Medak,660
Medchal,680,Medchal,680
Meerut,568,Meerut,568
Nuh,201,Mewat,201
Mirzapur,613,Mirzapur,613
Moga,410,Moga,410
Mokokchung,290,Mokokchung,290
Mon,288,Mon,288
Moradabad,559,Moradabad,559
MORBI,118,Morbi,118
Morena,28,Morena,28
Morigaon,249,Morigaon,249
Sri Muktsar Sahib,409,Muktsar,409
Mulugu,720,Mulugu,720
Mumbai City Civil Court,481,Mumbai,481
Mumbai Suburban,482,Mumbai Suburban,482
Mungeli,320,Mungeli,320
Munger,189,Munger,189
Murshidabad,379,Murshidabad,379
Muzaffarnagar,622,Muzaffarnagar,622
Muzaffarpur,170,Muzaffarpur,170
MYSURU,419,Mysore,419
Nabarangpur,489,Nabarangapur,489
Nadia,377,Nadia,377
Nagaon,254,Nagaon,254
Nagapattinam,631,Nagapattinam,631
Nagarkurnool,663,Nagarkurnool,663
Merta (Nagaur),518,Nagaur,518
Nagpur,483,Nagpur,483
Nainital,345,Nainital,345
Nalanda,195,Nalanda,195
Nalbari,241,Nalbari,241
Nalgonda,662,Nalgonda,662
Namakkal,558,Namakkal,558
Namsai,686,Namsai,686
Nanded,460,Nanded,460
Nandurbar,468,Nandurbar,468
Narayanpet,719,Narayanpet,719
Narayanpur,330,Narayanpur,330
Narmada,98,Narmada,98
Narsinghpur,8,Narsimhapur,8
Nashik,452,Nashik,452
Navsari,110,Navsari,110
Nawada,167,Nawada,167
Nayagarh,500,Nayagarh,500
Neemuch,21,Neemuch,21
New Delhi,705,New Delhi,705
Nicobars,223,Nicobars,223
Nirmal,666,Nirmal,666
Niwari,721,Niwari,721
Nizamabad,659,Nizamabad,659
Noney,698,Noney,698
North,710,North,710
North & Middle Andaman,221,North & Middle Andaman,221
Mangan,373,North District,373
North East,711,North East,711
North Garo Hills,317,North Garo Hills,317
North Goa,219,North Goa,219
North Tripura,304,North Tripura,304
North Twenty Four Parganas,388,North Twenty Four Parganas,388
North West,704,North West,704
Nuapada,510,Nuapada,510
Osmanabad,453,Osmanabad,453
Pakke Kessang,722,Pakke Kessang,722
Pakur,158,Pakur,158
Palakkad,368,Palakkad,368
Daltonganj,149,Palamu,149
Palghar,480,Palghar,480
Pali,530,Pali,530
Palwal,199,Palwal,199
Panchmahal at Godhra,119,Panch Mahals,119
Panchkula,200,Panchkula,200
Panipat,209,Panipat,209
Panna,9,Panna,9
Papum Pare,239,Papum Pare,239
Parbhani,458,Parbhani,458
Paschim Bardhaman,717,Paschim Barddhaman,717
Paschim Medinpur,394,Paschim Medinipur,394
Bettiah,169,Pashchim Champaran,169
West Singhbhum at Chaibasa,140,Pashchimi Singhbhum,140
Patan,105,Patan,105
Pathanamthitta,359,Pathanamthitta,359
Pathankot,396,Pathankot,396
Patiala,398,Patiala,398
Patna,182,Patna,182
Peddapalli,670,Peddapalli,670
Perambalur,554,Perambalur,554
Peren,298,Peren,298
Phek,292,Phek,292
Pherzawl,697,Pherzawl,697
Pilibhit,584,Pilibhit,584
Pithoragarh,355,Pithoragarh,355
Porbandar,114,Porbandar,114
Prakasham,122,Prakasam,122
Pratapgarh,524,Pratapgarh,524
Pratapgarh,605,Pratapgarh,605
Puducherry,269,Puducherry,269
Pudukkottai,628,Pudukkottai,628
Pulwama,74,Pulwama,74
Poonch,79,Punch,79
Pune,465,Pune,465
Motihari,191,Purba Champaran,191
Purba Medinipur,386,Purba Medinipur,386
East Singhbhum at Jamshedpur,143,Purbi Singhbhum,143
Puri,485,Puri,485
Purnea,161,Purnia,161
Purulia,392,Puruliya,392
Raebareli,619,Rae Bareli,619
RAICHUR,426,Raichur,426
Raigarh,340,Raigarh,340
Raigarh,475,Raigarh,475
Raipur,334,Raipur,334
Raisen,2,Raisen,2
Rajanna Sircilla,671,Rajanna Sircilla,671
Rajgarh,42,Rajgarh,42
RAJKOT,101,Rajkot,101
Rajnandgaon,344,Rajnandgaon,344
Rajouri,69,Rajouri,69
Rajsamand,531,Rajsamand,531
RAMANAGARAM,447,Ramanagara,447
Ramanathapuram,544,Ramanathapuram,544
Ramban,75,Ramban,75
RAMGARH,155,Ramgarh,155
Rampur,574,Rampur,574
Ranchi,157,Ranchi,157
Rangareddy,661,Rangareddy,661
Ranipet,731,Ranipet,731
Ratlam,18,Ratlam,18
Ratnagiri,469,Ratnagiri,469
Rayagada,512,Rayagada,512
Reasi,68,Reasi,68
Rewa,11,Rewa,11
Rewari,215,Rewari,215
Ri Bhoi,308,Ribhoi,308
Rohtak,216,Rohtak,216
Rohtas Sasaram,187,Rohtas,187
Rudraprayag,352,Rudraprayag,352
Rupnagar,412,Rupnagar,412
Sabarkantha at Himmatnagar,94,Sabar Kantha,94
Sagar,20,Sagar,20
Saharanpur,624,Saharanpur,624
Saharsa,174,Saharsa,174
Sahibganj,147,Sahibganj,147
Mohali,416,Sahibzada Ajit Singh Nagar,416
Saiha,274,Saiha,274
Saitual,728,Saitual,728
Salem,552,Salem,552
Samastipur,185,Samastipur,185
Samba,81,Samba,81
Sambalpur,497,Sambalpur,497
Sambhal at Chandausi,560,Sambhal,560
Shamli,566,Samli,566
Sangareddy,672,Sangareddy,672
Sangli,463,Sangli,463
Sangrur,402,Sangrur,402
Santkabir Nagar,601,Sant Kabir Nagar,601
Bhadohi SR Nagar,598,Sant Ravidas Nagar (Bhadohi),598
Seraikella,136,Saraikela-Kharsawan,136
Saran at Chapra,171,Saran,171
Satara,462,Satara,462
Satna,15,Satna,15
Sawai Madhopur,651,Sawai Madhopur,651
Sehore,6,Sehore,6
Senapati,701,Senapati,701
Seoni,31,Seoni,31
Serchhip,276,Serchhip,276
Shahdara,714,Shahdara,714
Shahdol,49,Shahdol,49
SBS Nagar,417,Shahid Bhagat Singh Nagar,417
Shahjahanpur,581,Shahjahanpur,581
Shajapur,44,Shajapur,44
Sheikhpura,172,Sheikhpura,172
Sheohar,178,Sheohar,178
Sheopur,27,Sheopur,27
Shi Yomi,724,Shi Yomi,724
Shimla,57,Shimla,57
SHIVAMOGGA,439,Shimoga,439
Shivpuri,45,Shivpuri,45
Shravasti,567,Shrawasti,567
Shopian,67,Shupiyan,67
Siang,233,Siang,233
Siddharthnagar,599,Siddharthnagar,599
Siddipet,673,Siddipet,673
Sidhi,38,Sidhi,38
Sikar,516,Sikar,516
Simdega,137,Simdega,137
Sindhudurg,454,Sindhudurg,454
Singrauli,40,Singrauli,40
Sipahijula,300,Sipahijula,300
Sirmaur,53,Sirmaur,53
Sirohi,539,Sirohi,539
Sirsa,213,Sirsa,213
Sitamarhi,190,Sitamarhi,190
Sitapur,565,Sitapur,565
Sivagangai,541,Sivaganga,541
Sivasagar,243,Sivasagar,243
Siwan,177,Siwan,177
Solan,52,Solan,52
Solapur,451,Solapur,451
Sonbhadra,640,Sonbhadra,640
Sonepat,205,Sonipat,205
Sonitpur,260,Sonitpur,260
South,709,South,709
South Andaman,222,South Andaman,222
Namchi,374,South District,374
South East,712,South East,712
South Garo Hills,307,South Garo Hills,307
South Goa,220,South Goa,220
South Salmara-Mankachar,694,South Salmara-Mankachar,694
SouthTripura,306,South Tripura,306
South Twenty Four Parganas,382,South Twenty Four Parganas,382
South West,707,South West,707
South West Garo Hills,313,South West Garo Hills,313
South West Khasi Hills,311,South West Khasi Hills,311
Nellore,126,Sri Potti Sriramulu Nellore,126
Srikakulam,128,Srikakulam,128
Srinagar,72,Srinagar,72
Sonepur,484,Subarnapur,484
Sukma,324,Sukma,324
Sultanpur,588,Sultanpur,588
Sundargarh,508,Sundargarh,508
Supaul,181,Supaul,181
Surajpur,332,Surajpur,332
SURAT,111,Surat,111
Surendranagar,96,Surendranagar,96
Surguja,327,Surguja,327
Suryapet,678,Suryapet,678
Tamenglong,280,Tamenglong,280
Tapi,113,Tapi,113
Tarn Taran,399,Tarn Taran,399
Tawang,238,Tawang,238
Tehri Garhwal,353,Tehri Garhwal,353
Tengnoupal,699,Tengnoupal,699
Tenkasi,735,Tenkasi,735
Thane,479,Thane,479
Thanjavur,542,Thanjavur,542
The Dangs,103,The Dangs,103
The Nilgiris,646,The Nilgiris,646
Theni,551,Theni,551
Tiruvallur,548,Thiruvallur,548
Thiruvananthapuram,369,Thiruvananthapuram,369
Tiruvarur,547,Thiruvarur,547
Thoothukudi,635,Thoothukkudi,635
Thoubal,284,Thoubal,284
Thrissur,367,Thrissur,367
Tikamgarh,22,Tikamgarh,22
Tinsukia,245,Tinsukia,245
Tirap,685,Tirap,685
Tiruchirappalli,549,Tiruchirappalli,549
Tirunelveli,545,Tirunelveli,545
Tirupathur,730,Tirupathur,730
Tiruppur,550,Tiruppur,550
Tiruvannamalai,543,Tiruvannamalai,543
Tonk,526,Tonk,526
Tuensang,289,Tuensang,289
TUMAKURU,443,Tumkur,443
Udaipur,536,Udaipur,536
Udalguri,261,Udalguri,261
