state_code,dist_code,year,state_name,district_name,judges_count
13,68,2018,Uttar Pradesh,Mirzapur,88
13,69,2018,Uttar Pradesh,Kannauj,47
13,70,2018,Uttar Pradesh,Jalaun,47
13,71,2018,Uttar Pradesh,Santkabir Nagar,30
13,73,2018,Uttar Pradesh,Hapur,50
13,74,2018,Uttar Pradesh,Sambhal at Chandausi,29
13,75,2018,Uttar Pradesh,Chandauli,21
14,1,2018,Haryana,Karnal,51
14,2,2018,Haryana,Sirsa,37
14,3,2018,Haryana,Ambala,55
14,4,2018,Haryana,Bhiwani,63
14,5,2018,Haryana,Faridabad,75
14,6,2018,Haryana,Gurugram,113
14,7,2018,Haryana,Hisar,53
14,8,2018,Haryana,Jhajjar,38
14,9,2018,Haryana,Jind,42
14,10,2018,Haryana,Kurukshetra,55
14,11,2018,Haryana,Narnaul,48
14,12,2018,Haryana,Rohtak,51
14,13,2018,Haryana,Sonepat,49
14,14,2018,Haryana,Panchkula,27
14,15,2018,Haryana,Fatehabad,22
14,16,2018,Haryana,Kaithal,31
14,17,2018,Haryana,Rewari,48
14,18,2018,Haryana,Panipat,42
14,19,2018,Haryana,Nuh,43
14,20,2018,Haryana,Yamunanagar,53
14,23,2018,Haryana,Palwal,51
15,1,2018,Uttarakhand,Nainital,77
15,2,2018,Uttarakhand,Pauri Garhwal,28
15,3,2018,Uttarakhand,Tehri Garhwal,28
15,4,2018,Uttarakhand,Udham Singh Nagar,68
15,5,2018,Uttarakhand,Dehradun,108
15,6,2018,Uttarakhand,Uttarkashi,16
15,7,2018,Uttarakhand,Almora,14
15,8,2018,Uttarakhand,Chamoli,14
15,9,2018,Uttarakhand,Haridwar,89
15,13,2018,Uttarakhand,Champawat,7
15,14,2018,Uttarakhand,Bageshwar,14
15,15,2018,Uttarakhand,Pithoragarh,12
16,1,2018,West Bengal,Malda,26
16,2,2018,West Bengal,Hooghly,78
16,3,2018,West Bengal,Calcutta,105
16,4,2018,West Bengal,Jalpaiguri,38
16,6,2018,West Bengal,Coochbehar,77
16,7,2018,West Bengal,Paschim Medinpur,67
16,8,2018,West Bengal,Birbhum,49
16,9,2018,West Bengal,Purba Medinipur,57
16,10,2018,West Bengal,Purulia,42
16,11,2018,West Bengal,Howrah,65
16,12,2018,West Bengal,Murshidabad,114
16,13,2018,West Bengal,South Dinajpur,28
16,14,2018,West Bengal,North  Twenty Four Parganas,90
16,17,2018,West Bengal,Darjeeling,36
16,18,2018,West Bengal,Purba Bardhaman,65
16,19,2018,West Bengal,Bankura,51
16,20,2018,West Bengal,South Twenty Four Parganas,170
16,21,2018,West Bengal,North Dinajpur,44
16,22,2018,West Bengal,Nadia,82
17,11,2018,Gujarat,GANDHINAGAR,96
17,13,2018,Gujarat,Ahmedabad,305
17,14,2018,Gujarat,SURAT,190
17,15,2018,Gujarat,Mahesana,69
17,16,2018,Gujarat,RAJKOT,142
17,17,2018,Gujarat,Amreli,36
17,18,2018,Gujarat,Anand,75
17,19,2018,Gujarat,Banaskanth at Palanpur,65
17,20,2018,Gujarat,Bharuch,59
17,21,2018,Gujarat,Bhavnagar,86
17,22,2018,Gujarat,Dahod,35
17,23,2018,Gujarat,Jamnagar,76
17,24,2018,Gujarat,Junagadh,50
17,25,2018,Gujarat,Kheda at Nadiad,34
17,26,2018,Gujarat,kachchh at Bhuj,70
17,27,2018,Gujarat,Panchmahal at Godhra,60
17,28,2018,Gujarat,Patan,30
17,29,2018,Gujarat,Sabarkantha at Himmatnagar,52
17,30,2018,Gujarat,Surendranagar,60
17,31,2018,Gujarat,Vadodara,216
17,32,2018,Gujarat,Navsari,39
17,33,2018,Gujarat,Narmada,27
17,34,2018,Gujarat,Tapi,13
17,35,2018,Gujarat,Valsad,45
17,36,2018,Gujarat,Porbandar,16
17,37,2018,Gujarat,Gir Somnath at Veraval,48
17,38,2018,Gujarat,Aravalli at Modasa,25
17,39,2018,Gujarat,MORBI,32
17,40,2018,Gujarat,Devbhumi Dwarka at Khambhaliya,29
17,41,2018,Gujarat,Chhota Udepur,17
17,42,2018,Gujarat,Mahisagar at Lunawada,6
18,1,2018,Chhattisgarh,Korba,20
18,2,2018,Chhattisgarh,Bilaspur,45
18,3,2018,Chhattisgarh,Raipur,62
18,4,2018,Chhattisgarh,Surguja,17
18,5,2018,Chhattisgarh,Dhamtari,13
18,6,2018,Chhattisgarh,Raigarh,28
18,7,2018,Chhattisgarh,Durg,49
18,9,2018,Chhattisgarh,Kawardha,8
18,10,2018,Chhattisgarh,Rajnandgaon,27
18,11,2018,Chhattisgarh,Koriya,17
18,12,2018,Chhattisgarh,Mahasamund,20
18,13,2018,Chhattisgarh,Kanker,12
18,15,2018,Chhattisgarh,Bastar,23
18,16,2018,Chhattisgarh,Jashpur,13
18,17,2018,Chhattisgarh,Dantewada,11
18,18,2018,Chhattisgarh,Janjgir,24
