Name,Unique-ID,case_pendency_rate
Pratapgarh,605,0.2128596888203608
Pratapgarh,524,0.3185418420452907
Pratapgarh,605,0.3185418420452907
Dungarpur,534,0.2005426031718022
Banswara,652,0.2849244591196176
Sirohi,539,0.3090645028888959
Barmer,519,0.3284315284092716
Karauli,653,0.3550809633341965
Chittaurgarh,535,0.3543682336438514
Bhilwara,525,0.3753028807322983
Jaisalmer,515,0.2609058959423923
Churu,522,0.3346559874592794
Dhaulpur,650,0.4013358268768368
Sikar,516,0.3532847619244185
Sawai Madhopur,651,0.2675571980341584
Jodhpur,521,0.4047579621350113
Dharmapuri,557,0.362961909502477
Pudukkottai,628,0.316113941364204
Tirunelveli,545,0.2209112837689671
Theni,551,0.1680634585297312
Namakkal,558,0.257325652876756
Nagapattinam,631,0.3016649733562794
Kanniyakumari,634,0.2938939045889203
Tiruchirappalli,549,0.261413730977115
Thoothukkudi,635,0.2702859274969561
Viluppuram,632,0.3240553199569593
Vellore,629,0.2196921103271328
Salem,552,0.2876043460977872
Chennai,630,0.3059491150553435
Virudhunagar,546,0.2422170784662037
Madurai,553,0.2733225167589539
The Nilgiris,646,0.2070978895521414
Thanjavur,542,0.247558031410754
Coimbatore,645,0.3254099145590159
Karur,556,0.3552253020893272
Cuddalore,627,0.3389075212719706
Ramanathapuram,544,0.2481199892274865
Tiruvannamalai,543,0.3528220522716985
Perambalur,554,0.2695791658803548
Erode,644,0.2936525779376499
Thiruvarur,547,0.1713560252539116
Krishnagiri,643,0.2877258373453434
Dindigul,555,0.2946835395469876
Puducherry,269,0.311531376642515
Sivaganga,541,0.2954657239471257
Ariyalur,540,0.2156736558023666
Kancheepuram,633,0.3763852523899409
Thiruvallur,548,0.460840994172801
Tiruppur,550,0.316540741075872
Cuttack,501,0.5081309460064108
Kendrapara,505,0.5871545855026031
Nuapada,510,0.4106834443622008
Ganjam,507,0.4990343672196756
Baleshwar,496,0.5511295336787565
Koraput,488,0.4459899724926354
Dhenkanal,499,0.4777813401731324
Khordha,493,0.6597235492706541
Gajapati,498,0.2408191077320327
Kalahandi,503,0.4786876355748373
