Name,Unique-ID,cases_per_judge
Anand,97,920.2021276595744
Banas Kantha,95,1268.59375
Bharuch,106,1200.6507177033493
Bhavnagar,88,1279.6560846560849
Dohad,100,745.7377049180328
Jamnagar,112,673.3279352226721
Junagadh,108,802.234375
Kheda,120,3149.6714285714284
Kachchh,102,1205.7105263157894
Panch Mahals,119,911.0065359477125
Patan,105,1601.0428571428572
Sabar Kantha,94,1189.5641025641023
Surendranagar,96,765.1533742331288
Vadodara,92,1016.8894348894348
Navsari,110,1578.3466666666666
Narmada,98,756.3559322033898
Tapi,113,1570.5384615384614
Valsad,115,1290.5531914893618
Porbandar,114,1985.0
Gir Somnath,107,1042.5934065934066
Aravali,93,1487.2962962962963
Morbi,118,1347.178571428571
Devbhumi Dwarka,109,929.3859649122808
Chhota Udaipur,90,2269.8928571428573
Mahisagar,117,2154.1111111111118
Korba,339,1106.7073170731708
Raipur,334,1676.5736434108528
Surguja,327,705.6842105263158
Dhamtari,338,713.2093023255813
Raigarh,340,1107.0819672131147
Raigarh,475,1107.0819672131147
Durg,331,1113.2543859649122
Kabeerdham,323,1206.3846153846157
Rajnandgaon,344,1368.34693877551
Koriya,337,776.2758620689655
Mahasamund,342,737.6382978723404
Uttar Bastar Kanker,325,668.6923076923077
Bastar,319,393.12280701754383
Jashpur,341,534.48
Dakshin Bastar Dantewada,326,318.3478260869565
Janjgir-Champa,343,868.0526315789474
Balod,336,789.3333333333334
Bemetra,318,1068.1333333333334
Surajpur,332,647.8333333333334
Kondagaon,329,460.5625
Baloda Bazar,335,1592.1538461538462
Mungeli,320,1066.4666666666667
Aizawl,277,254.97368421052636
Lunglei,271,108.16666666666669
West Tripura,301,310.69565217391306
North Tripura,304,243.725
South Tripura,306,146.53571428571428
Gomati,305,208.3703703703704
Khowai,299,103.08888888888887
East Khasi Hills,309,325.55056179775283
West Garo Hills,312,122.30434782608695
West Jaintia Hills,315,18.36111111111111
Ludhiana,406,1398.7365269461077
Jalandhar,408,2555.987577639752
Rupnagar,412,1295.376811594203
Fatehgarh Sahib,401,1750.3148148148148
Patiala,398,3204.3837209302324
Firozpur,413,1354.906976744186
Amritsar,404,1941.4895104895104
Faridkot,405,1180.5098039215686
Gurdaspur,397,1167.9021739130435
Kapurthala,400,1595.8026315789473
Moga,410,987.3764705882352
Mansa,403,1253.7166666666667
Muktsar,409,1186.75
Shahid Bhagat Singh Nagar,417,1195.2830188679245
Barnala,415,1184.4666666666667
Bathinda,407,1882.1214953271028
Hoshiarpur,411,1267.9183673469388
Sangrur,402,1885.2528735632184
Pathankot,396,1471.2333333333331
Tarn Taran,399,1294.3818181818183
Sahibzada Ajit Singh Nagar,416,1157.521276595745
Jabalpur,7,1722.6505376344087
Narsimhapur,8,1319.0
Hoshangabad,5,681.5175438596491
Harda,19,644.0983606557377
Umaria,33,889.972972972973
Dindori,12,832.1875
Panna,9,1049.0377358490566
Alirajpur,39,544.547619047619
Jhabua,30,730.2413793103449
Khandwa (East Nimar),32,952.0434782608696
Shahdol,49,800.0520833333334
Sheopur,27,875.4
Datia,46,857.95
Rajgarh,42,1188.2048192771083
Morena,28,598.8629441624365
Khargone (West Nimar),26,1019.0108695652174
Neemuch,21,634.3164556962025
Barwani,14,596.0434782608696
Shajapur,44,748.6538461538462
Chhindwara,3,1112.1079136690648
Sidhi,38,671.2429906542056
Anuppur,48,671.9814814814815
Shivpuri,45,908.9363636363636
Raisen,2,684.4257425742575
Sehore,6,700.747572815534
Balaghat,13,773.7019230769231
Damoh,35,826.2564102564103
Vidisha,50,680.6694214876034
Bhind,29,520.52
Guna,23,669.3669724770642
Singrauli,40,997.5428571428572
Satna,15,922.1642857142856
Seoni,31,1041.654761904762
Katni,37,1370.6477272727273
Mandsaur,25,875.2857142857143
Tikamgarh,22,998.8785046728972
Betul,4,833.3666666666667
Dhar,36,951.5928571428572
Chhatarpur,16,782.96
Dewas,24,1153.0267857142858
Mandla,43,753.1447368421053
Ratlam,18,814.6910569105692
Sagar,20,970.2574257425742
Gwalior,34,988.9192307692308
Ujjain,10,1001.8134715025908
Rewa,11,1119.1760563380285
Indore,17,2216.596958174905
Ashoknagar,1,455.13698630136986
Burhanpur,47,1035.909090909091
Bhopal,41,1692.7782426778242
South District,374,152.94117647058823
North District,373,60.0
West District,375,144.25
East District,376,406.0263157894737
Imphal East,285,653.6666666666666
Imphal West,287,958.2093023255812
