Name,Unique-ID,mean_disposition_days
Tehri Garhwal,353,236.396520648852
Udham Singh Nagar,357,442.72783811998846
Dehradun,346,420.5096561710344
Uttarkashi,349,203.6436154079466
Almora,347,200.79131690585797
Chamoli,356,260.390243902439
Hardwar,351,425.5935401978926
Champawat,348,144.30867385690414
Bageshwar,354,129.87384467650944
Pithoragarh,355,184.22269221199304
Rudraprayag,352,
Maldah,381,293.1254451717939
Hugli,395,481.5465713876205
Kolkata,380,565.7753459929193
Jalpaiguri,384,380.55676771577527
Koch Bihar,393,339.2343201560007
Paschim Medinipur,394,324.2313211250016
Birbhum,389,574.6434085590553
Purba Medinipur,386,567.4736535556324
Puruliya,392,385.877914219612
Haora,387,318.875536209942
Murshidabad,379,415.12881057687736
Dakshin Dinajpur,378,295.3075240405441
Darjiling,383,440.123811265545
Barddhaman,390,427.7659582630045
Bankura,391,626.3378612537905
South Twenty Four Parganas,382,587.6491213632182
Uttar Dinajpur,385,385.3056044572557
Nadia,377,389.589560033628
Kalimpong,718,262.8836926814455
Paschim Barddhaman,717,404.24207054700986
Jhargram,716,589.2097039473684
Gandhinagar,116,417.15809771020673
Ahmadabad,89,436.1097297864927
Surat,111,576.9735105693788
Mahesana,104,406.2082987855994
Rajkot,101,418.4587826126106
Amreli,99,354.2879226924713
Anand,97,436.0947019541338
Banas Kantha,95,390.68550809961096
Bharuch,106,279.35706098645664
Bhavnagar,88,357.616260213801
Dohad,100,437.4722878066349
Jamnagar,112,430.7582807570978
Junagadh,108,406.5311002248756
Kheda,120,349.6341639304855
Kachchh,102,416.6918590105578
Panch Mahals,119,515.1696813406111
Patan,105,342.61101961065134
Sabar Kantha,94,358.6631722880583
Surendranagar,96,397.6525488840229
Vadodara,92,447.186141272026
Navsari,110,226.7534345191673
Narmada,98,325.999211439386
Tapi,113,407.5130955964859
Valsad,115,388.0524820447824
Porbandar,114,324.0963132653229
Gir Somnath,107,408.5378745016513
Aravali,93,320.03151389416473
Morbi,118,273.5198248517446
Devbhumi Dwarka,109,407.43058231893593
Chhota Udaipur,90,261.13414309779233
Mahisagar,117,464.0932113847983
Batod,91,246.29785626218032
Korba,339,350.5250162259785
Raipur,334,287.1529422393544
Surguja,327,595.0188607419713
Dhamtari,338,254.2479774885684
Raigarh,340,465.0686804775997
Raigarh,475,465.0686804775997
Durg,331,451.861045538927
Kabeerdham,323,317.9366536607758
Rajnandgaon,344,367.8941513092258
Koriya,337,503.5691669547183
Mahasamund,342,375.0076913377884
Uttar Bastar Kanker,325,323.3457024847571
Bastar,319,333.53796925889947
Jashpur,341,327.7364642536644
Dakshin Bastar Dantewada,326,306.05334522747546
Janjgir-Champa,343,412.4804888610884
Balod,336,189.0428997761751
Bemetra,318,449.2066595250848
Surajpur,332,1004.6377968671046
Kondagaon,329,494.7626141278232
Baloda Bazar,335,364.0233243707279
Mungeli,320,423.7186819172113
Aizawl,277,312.95501474926255
Lunglei,271,219.25797872340425
West Tripura,301,474.4734662934453
North Tripura,304,512.9374742338875
South Tripura,306,574.2763253449529
Gomati,305,475.20028409090907
Khowai,299,508.9102980230156
Dhalai,302,329.1562395449983
East Khasi Hills,309,212.21042583215737
West Garo Hills,312,213.81558321807285
West Jaintia Hills,315,719.2571428571429
East Garo Hills,316,143.75918686473807
Ribhoi,308,570.1616161616162
West Khasi Hills,310,
Ludhiana,406,433.8038249383279
Jalandhar,408,287.7287820237584
Rupnagar,412,462.8334059631416
Fatehgarh Sahib,401,334.3870971786834
Patiala,398,333.1286313347609
Firozpur,413,391.79077971049753
Amritsar,404,409.921943599584
Faridkot,405,443.0196152171332
Gurdaspur,397,573.7950213507002
Kapurthala,400,345.3541846419327
Moga,410,428.3679401047597
Mansa,403,340.8874307976215
Muktsar,409,382.4724803839415
Shahid Bhagat Singh Nagar,417,380.56907682375726
Barnala,415,392.2777231078746
Bathinda,407,292.8110696589915
Hoshiarpur,411,542.7675531035622
Sangrur,402,397.4911721727603
Pathankot,396,492.6338276735647
Tarn Taran,399,451.5785670522939
Sahibzada Ajit Singh Nagar,416,463.7703053235287
Fazilka,414,371.0684451808893
Jabalpur,7,377.421090419167
Narsimhapur,8,363.0037199317768
Hoshangabad,5,433.96581454643047
Harda,19,418.0891633201485
Umaria,33,380.6097768495959
Dindori,12,372.7990263197931
Panna,9,320.41706080361325
Alirajpur,39,305.85414915966385
Jhabua,30,401.7006868297385
Khandwa (East Nimar),32,281.87322864287825
Shahdol,49,424.8197601350138
Sheopur,27,494.5597704813516
Datia,46,373.4385868203458
Rajgarh,42,499.2739601574741
Morena,28,491.90747266973534
Khargone (West Nimar),26,504.9878017890709
Neemuch,21,533.6827938573957
Barwani,14,431.0236519070583
Shajapur,44,544.6786991466912
Chhindwara,3,354.8351424532145
Sidhi,38,548.4358344320589
Anuppur,48,460.0464292740508
Shivpuri,45,459.746734958377
Raisen,2,507.8164529578351
Sehore,6,479.6077487926175
Balaghat,13,347.2335631046953
Damoh,35,434.8259108260407
Vidisha,50,406.1655412424683
Bhind,29,438.5433275168804
Guna,23,425.84487061088953
Singrauli,40,645.3764193322648
Satna,15,569.6963420406139
Seoni,31,377.1874146631048
Katni,37,360.4291833891327
Mandsaur,25,536.6651151282725
Tikamgarh,22,418.1698847210821
Betul,4,367.1912272961248
Dhar,36,428.6065168235317
Chhatarpur,16,497.7038022813688
Dewas,24,502.7226237677606
Mandla,43,357.5735793667436
Ratlam,18,470.7712462210279
Sagar,20,378.7801544669477
Gwalior,34,355.8140895689737
Ujjain,10,474.9427600885168
Rewa,11,548.973368777187
Indore,17,384.7727701418154
Ashoknagar,1,772.8869346733668
Burhanpur,47,387.027848008501
Bhopal,41,277.89483268044734
South District,374,75.38592328983788
North District,373,120.41257995735609
West District,375,54.33544946673438
East District,376,157.2151724137931
Imphal East,285,141.9377830615942
Imphal West,287,222.773973552161
Bishnupur,282,80.95888296379455
Thoubal,284,97.50907770515612
Senapati,701,152.05004389815628
Churachandpur,283,72.1938622754491
Chandel,279,79.109375
Tamenglong,280,110.640522875817
North East,711,360.18858200260433
Shahdara,714,423.7437982432792
East,706,430.0734861637672
