year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_decision_days
2011.0,16.0,8.0,2,0,2,0.0,
2011.0,16.0,9.0,0,5,5,9409.0,1881.8
2011.0,16.0,10.0,1,7,8,16890.0,2412.8571428571427
2011.0,16.0,11.0,3,37,40,52155.0,1409.5945945945946
2011.0,16.0,12.0,0,1,1,1932.0,1932.0
2011.0,16.0,13.0,0,3,3,4871.0,1623.6666666666667
2011.0,16.0,14.0,5,6,11,13519.0,2253.1666666666665
2011.0,16.0,18.0,4,4,8,9643.0,2410.75
2011.0,16.0,19.0,0,1,1,1918.0,1918.0
2011.0,16.0,20.0,10,11,21,26505.0,2409.5454545454545
2011.0,16.0,21.0,0,1,1,1925.0,1925.0
2011.0,16.0,22.0,2,2,4,4866.0,2433.0
2011.0,16.0,24.0,2,3,5,7442.0,2480.6666666666665
2011.0,17.0,11.0,3,62,65,58622.0,945.516129032258
2011.0,17.0,13.0,39,255,294,378542.0,1484.478431372549
2011.0,17.0,14.0,17,139,156,191904.0,1380.6043165467627
2011.0,17.0,15.0,2,72,74,58522.0,812.8055555555555
2011.0,17.0,16.0,2,294,296,229442.0,780.4149659863946
2011.0,17.0,17.0,2,50,52,48832.0,976.64
2011.0,17.0,18.0,1,35,36,52455.0,1498.7142857142858
2011.0,17.0,19.0,1,42,43,35768.0,851.6190476190476
2011.0,17.0,20.0,1,164,165,114805.0,700.030487804878
2011.0,17.0,21.0,5,117,122,132696.0,1134.1538461538462
2011.0,17.0,22.0,1,17,18,17378.0,1022.2352941176471
2011.0,17.0,23.0,2,55,57,72000.0,1309.090909090909
2011.0,17.0,24.0,1,91,92,84494.0,928.5054945054945
2011.0,17.0,25.0,9,58,67,38946.0,671.4827586206897
2011.0,17.0,26.0,2,18,20,21566.0,1198.111111111111
2011.0,17.0,27.0,5,59,64,53489.0,906.5932203389831
2011.0,17.0,28.0,0,38,38,36073.0,949.2894736842105
2011.0,17.0,29.0,1,73,74,59131.0,810.013698630137
2011.0,17.0,30.0,0,45,45,32391.0,719.8
2011.0,17.0,31.0,31,110,141,192871.0,1753.3727272727272
2011.0,17.0,32.0,0,1,1,2483.0,2483.0
2011.0,17.0,33.0,0,4,4,6736.0,1684.0
2011.0,17.0,34.0,0,4,4,4685.0,1171.25
2011.0,17.0,35.0,0,5,5,6875.0,1375.0
2011.0,17.0,36.0,0,34,34,27861.0,819.4411764705883
2011.0,17.0,37.0,0,19,19,16781.0,883.2105263157895
2011.0,17.0,38.0,0,151,151,81167.0,537.5298013245033
2011.0,17.0,39.0,0,2,2,2056.0,1028.0
2011.0,17.0,40.0,0,15,15,18284.0,1218.9333333333334
2011.0,17.0,41.0,0,10,10,6660.0,666.0
2011.0,17.0,42.0,1,7,8,5795.0,827.8571428571429
2011.0,17.0,43.0,1,9,10,11182.0,1242.4444444444443
2011.0,18.0,1.0,0,1,1,1393.0,1393.0
2011.0,18.0,2.0,0,1,1,1270.0,1270.0
2011.0,18.0,3.0,1,0,1,0.0,
2011.0,18.0,6.0,0,2,2,1060.0,530.0
2011.0,18.0,7.0,0,3,3,5707.0,1902.3333333333333
2011.0,18.0,11.0,0,1,1,645.0,645.0
2011.0,18.0,12.0,0,2,2,3351.0,1675.5
2011.0,18.0,18.0,0,3,3,7022.0,2340.6666666666665
2011.0,18.0,19.0,0,1,1,1883.0,1883.0
2011.0,18.0,20.0,1,1,2,2052.0,2052.0
2011.0,18.0,21.0,0,1,1,2087.0,2087.0
2011.0,18.0,24.0,0,1,1,2674.0,2674.0
2011.0,20.0,1.0,0,3,3,1144.0,381.3333333333333
2011.0,20.0,6.0,0,1,1,516.0,516.0
2011.0,22.0,1.0,1,18,19,26588.0,1477.111111111111
2011.0,22.0,2.0,2,7,9,11301.0,1614.4285714285713
2011.0,22.0,4.0,0,3,3,3596.0,1198.6666666666667
2011.0,22.0,5.0,0,3,3,3451.0,1150.3333333333333
2011.0,22.0,8.0,0,1,1,1179.0,1179.0
2011.0,22.0,9.0,0,1,1,990.0,990.0
2011.0,22.0,10.0,0,9,9,12315.0,1368.3333333333333
2011.0,22.0,11.0,0,13,13,14137.0,1087.4615384615386
2011.0,22.0,12.0,0,4,4,5797.0,1449.25
2011.0,22.0,13.0,0,2,2,2182.0,1091.0
2011.0,22.0,14.0,0,7,7,7448.0,1064.0
2011.0,22.0,17.0,1,2,3,4044.0,2022.0
2011.0,22.0,18.0,1,15,16,25349.0,1689.9333333333334
2011.0,22.0,19.0,0,5,5,7695.0,1539.0
2011.0,22.0,21.0,0,8,8,11302.0,1412.75
2011.0,22.0,23.0,0,4,4,6234.0,1558.5
2011.0,22.0,24.0,1,17,18,22067.0,1298.0588235294117
2011.0,22.0,26.0,0,21,21,22808.0,1086.095238095238
2011.0,23.0,1.0,11,53,64,50410.0,951.1320754716982
2011.0,23.0,2.0,0,1,1,456.0,456.0
2011.0,23.0,3.0,0,3,3,5599.0,1866.3333333333333
2011.0,23.0,5.0,0,2,2,4716.0,2358.0
2011.0,23.0,6.0,0,2,2,3090.0,1545.0
2011.0,23.0,7.0,1,5,6,3234.0,646.8
2011.0,23.0,10.0,1,83,84,56513.0,680.8795180722891
2011.0,23.0,11.0,4,4,8,7479.0,1869.75
2011.0,23.0,12.0,0,7,7,7369.0,1052.7142857142858
2011.0,23.0,13.0,0,6,6,3646.0,607.6666666666666
2011.0,23.0,14.0,0,32,32,26806.0,837.6875
2011.0,23.0,15.0,6,34,40,30482.0,896.5294117647059
2011.0,23.0,16.0,0,3,3,3966.0,1322.0
2011.0,23.0,17.0,4,6,10,11670.0,1945.0
2011.0,23.0,18.0,0,5,5,3687.0,737.4
2011.0,23.0,19.0,3,7,10,14718.0,2102.5714285714284
2011.0,23.0,20.0,0,19,19,15297.0,805.1052631578947
2011.0,23.0,21.0,4,38,42,44390.0,1168.157894736842
2011.0,23.0,22.0,0,40,40,29676.0,741.9
2011.0,23.0,23.0,0,8,8,6796.0,849.5
2011.0,23.0,24.0,1,5,6,6637.0,1327.4
2011.0,23.0,25.0,0,12,12,14254.0,1187.8333333333333
2011.0,23.0,26.0,1,88,89,63374.0,720.1590909090909
2011.0,23.0,27.0,0,3,3,2665.0,888.3333333333334
2011.0,23.0,28.0,2,2,4,1969.0,984.5
2011.0,23.0,29.0,3,35,38,16359.0,467.4
2011.0,23.0,30.0,1,3,4,2047.0,682.3333333333334
2011.0,23.0,31.0,6,4,10,5034.0,1258.5
2011.0,23.0,32.0,4,4,8,8081.0,2020.25
2011.0,23.0,33.0,1,2,3,2675.0,1337.5
2011.0,23.0,34.0,1,15,16,12864.0,857.6
2011.0,23.0,35.0,6,32,38,39575.0,1236.71875
2011.0,23.0,36.0,0,50,50,53660.0,1073.2
2011.0,23.0,37.0,1,23,24,25220.0,1096.5217391304348
2011.0,23.0,38.0,0,6,6,4215.0,702.5
2011.0,23.0,39.0,1,11,12,14773.0,1343.0
2011.0,23.0,40.0,0,13,13,11948.0,919.0769230769231
2011.0,23.0,41.0,1,13,14,6638.0,510.61538461538464
2011.0,23.0,42.0,3,8,11,11084.0,1385.5
2011.0,23.0,43.0,0,5,5,5507.0,1101.4
2011.0,23.0,44.0,3,7,10,15029.0,2147.0
2011.0,23.0,45.0,2,15,17,17963.0,1197.5333333333333
2011.0,23.0,46.0,3,15,18,15457.0,1030.4666666666667
2011.0,23.0,47.0,49,148,197,157234.0,1062.3918918918919
2011.0,23.0,48.0,1,0,1,0.0,
2011.0,23.0,49.0,0,10,10,6099.0,609.9
2011.0,23.0,50.0,7,172,179,182385.0,1060.3779069767443
2011.0,24.0,4.0,0,1,1,1577.0,1577.0
2011.0,25.0,1.0,0,4,4,5305.0,1326.25
2011.0,25.0,2.0,0,4,4,7066.0,1766.5
2011.0,26.0,1.0,16,28,44,58421.0,2086.464285714286
2011.0,26.0,2.0,23,57,80,122354.0,2146.561403508772
2011.0,26.0,3.0,32,48,80,103009.0,2146.0208333333335
2011.0,26.0,4.0,45,55,100,105375.0,1915.909090909091
2011.0,26.0,5.0,23,42,65,79328.0,1888.7619047619048
2011.0,26.0,6.0,14,40,54,77246.0,1931.15
2011.0,26.0,7.0,1,6,7,13191.0,2198.5
2011.0,26.0,8.0,6,45,51,68978.0,1532.8444444444444
2011.0,26.0,9.0,42,70,112,134679.0,1923.9857142857143
2011.0,26.0,10.0,17,31,48,65490.0,2112.5806451612902
2011.0,26.0,11.0,9,41,50,88765.0,2165.0
2011.0,27.0,1.0,3,82,85,75416.0,919.7073170731708
2011.0,29.0,1.0,1,70,71,56425.0,806.0714285714286
2011.0,29.0,2.0,2,94,96,95933.0,1020.563829787234
2011.0,29.0,3.0,3,153,156,142683.0,932.5686274509804
2011.0,29.0,4.0,1,95,96,96216.0,1012.8
2011.0,29.0,5.0,0,20,20,14594.0,729.7
2011.0,29.0,6.0,0,2,2,2538.0,1269.0
2011.0,29.0,7.0,1,4,5,5110.0,1277.5
2011.0,29.0,8.0,0,44,44,35985.0,817.8409090909091
2011.0,29.0,9.0,3,27,30,22451.0,831.5185185185185
2011.0,29.0,10.0,4,88,92,82274.0,934.9318181818181
2011.0,30.0,1.0,3,38,41,28398.0,747.3157894736842
2011.0,30.0,2.0,0,7,7,2623.0,374.7142857142857
2011.0,31.0,2.0,0,4,4,2280.0,570.0
