year,state_code,dist_code,pending_cases,solved_cases,total_cases,total_days,mean_days
2018,12,13,2635,1187,3822,181072.0,152.54591406908173
2018,12,14,844,564,1408,54725.0,97.03014184397163
2018,12,15,1613,2777,4390,136428.0,49.127835794022324
2018,12,16,128,178,306,8424.0,47.325842696629216
2018,12,17,90,85,175,4422.0,52.023529411764706
2018,12,18,512,203,715,30378.0,149.64532019704433
2018,12,19,10096,6209,16305,712954.0,114.82589789015944
2018,12,20,582,519,1101,46999.0,90.55684007707129
2018,12,21,1232,1062,2294,91819.0,86.45856873822976
2018,12,22,482,246,728,39953.0,162.41056910569105
2018,13,1,34854,42759,77613,1587085.0,37.11698122032789
2018,13,2,25248,40577,65825,1835087.0,45.22480715676368
2018,13,3,32148,37582,69730,1437558.0,38.25123729444947
2018,13,4,19972,12379,32351,1265859.0,102.25858308425559
2018,13,5,4484,7613,12097,569995.0,74.8712728228031
2018,13,6,39046,63333,102379,2627742.0,41.49088153095543
2018,13,7,25348,15514,40862,1370059.0,88.31113832667268
2018,13,8,33860,32821,66681,2033375.0,61.953474909356814
2018,13,9,16360,17104,33464,789193.0,46.14084424695977
2018,13,10,26366,18855,45221,1687802.0,89.51482365420313
2018,13,11,6152,1920,8072,236885.0,123.37760416666667
2018,13,12,27004,19615,46619,1425449.0,72.6713739485088
2018,13,13,9626,13615,23241,938699.0,68.94594197576203
2018,13,14,14041,10429,24470,718936.0,68.93623549717135
2018,13,15,17655,15719,33374,1029937.0,65.5217889178701
2018,13,16,21056,26027,47083,1026399.0,39.43593191685557
2018,13,17,7971,6597,14568,329867.0,50.00257692890708
2018,13,18,26731,23659,50390,1313568.0,55.52085886977471
2018,13,19,29730,11716,41446,1098453.0,93.75665756230795
2018,13,20,42388,39838,82226,2398940.0,60.21738039058186
2018,13,21,11479,7093,18572,446178.0,62.903989849147045
2018,13,22,7447,7656,15103,426033.0,55.64694357366771
2018,13,23,7652,4798,12450,389677.0,81.2165485619008
2018,13,24,45685,26442,72127,1949354.0,73.72188185462522
2018,13,25,15492,27794,43286,1378731.0,49.60534647765705
2018,13,26,20288,22648,42936,2024683.0,89.39787177675733
2018,13,27,24217,32733,56950,2117847.0,64.70066904958298
2018,13,28,11408,7278,18686,525515.0,72.2059631766969
2018,13,29,19605,25020,44625,1076778.0,43.03669064748201
2018,13,30,31035,27771,58806,1935918.0,69.71005725396996
2018,13,31,14538,22211,36749,1767018.0,79.55598577281528
2018,13,33,11364,9692,21056,584943.0,60.35317787866281
2018,13,34,11381,12862,24243,1158636.0,90.0821023169025
2018,13,35,12619,13389,26008,1249442.0,93.31854507431474
2018,13,36,16869,16791,33660,1216254.0,72.43487582633554
2018,13,37,6542,4684,11226,625445.0,133.52796754910332
2018,13,38,6987,7322,14309,408903.0,55.84580715651462
2018,13,39,11615,10799,22414,788160.0,72.98453560514862
2018,13,40,4672,10080,14752,1258898.0,124.8906746031746
2018,13,41,6868,3713,10581,627850.0,169.09507137085913
2018,13,42,6858,13764,20622,914281.0,66.42553036907876
2018,13,43,30711,42138,72849,1930775.0,45.820280981536854
2018,13,44,22514,27375,49889,1715838.0,62.679013698630136
2018,13,45,8320,10532,18852,1041734.0,98.91131788834029
2018,13,46,8726,13588,22314,491838.0,36.196496909037386
2018,13,47,16098,14780,30878,1853721.0,125.42090663058187
2018,13,48,21860,26727,48587,1275005.0,47.70475549070228
2018,13,49,17883,35843,53726,1014197.0,28.295538877884105
2018,13,50,17319,12449,29768,824452.0,66.22636356333842
2018,13,51,20805,22602,43407,2011133.0,88.98031147686045
2018,13,52,9557,7818,17375,658607.0,84.24238935789204
2018,13,53,26058,35986,62044,2338195.0,64.9751292169177
2018,13,54,21002,44033,65035,1490049.0,33.83937047214589
2018,13,55,7075,17887,24962,1577563.0,88.19606418068989
2018,13,56,12504,22336,34840,1234330.0,55.261909025787965
2018,13,57,23406,21766,45172,2519430.0,115.75071211981991
2018,13,58,12929,24050,36979,1566892.0,65.15143451143452
2018,13,59,5974,10118,16092,455786.0,45.04704487052777
2018,13,60,12527,13809,26336,974232.0,70.55051053660657
2018,13,61,19051,13684,32735,683533.0,49.951256942414496
2018,13,62,14499,28976,43475,2897651.0,100.00176007730536
2018,13,63,9130,8335,17465,651409.0,78.15344931013797
2018,13,64,5910,7892,13802,419480.0,53.15255955397871
2018,13,65,9006,9634,18640,1035786.0,107.51359767490139
2018,13,66,14562,35444,50006,1607120.0,45.342512131813564
2018,13,67,11190,6942,18132,492194.0,70.90089311437626
2018,13,68,12090,12697,24787,681162.0,53.64747578168071
2018,13,69,8734,5846,14580,497502.0,85.10126582278481
2018,13,70,2661,10961,13622,1247469.0,113.80978012955022
2018,13,71,5901,7690,13591,720615.0,93.70806241872562
2018,13,73,7453,7135,14588,571056.0,80.03587946741416
2018,13,74,12708,13223,25931,1988544.0,150.38523784315208
2018,13,75,1650,1636,3286,453908.0,277.4498777506112
2018,13,76,274,10017,10291,2438560.0,243.4421483478087
2018,14,1,19274,24209,43483,1996203.0,82.45706142343757
2018,14,2,9766,12617,22383,1097041.0,86.94943330427202
2018,14,3,15514,19602,35116,1393796.0,71.10478522599735
2018,14,4,15970,20009,35979,1234332.0,61.6888400219901
2018,14,5,28032,31147,59179,2256016.0,72.43124538478826
2018,14,6,20707,52281,72988,6832146.0,130.68124175130544
2018,14,7,18167,21483,39650,1767952.0,82.29539635991249
2018,14,8,9837,7762,17599,922693.0,118.87309971656789
2018,14,9,9999,14119,24118,904461.0,64.05984843119201
2018,14,10,10293,28780,39073,5860293.0,203.62380125086867
2018,14,11,9140,8060,17200,551826.0,68.46476426799008
2018,14,12,13806,26112,39918,2719620.0,104.15211397058823
2018,14,13,16343,12772,29115,1270984.0,99.51331036642655
2018,14,14,8172,14657,22829,1008731.0,68.82247390325442
2018,14,15,7373,10392,17765,863123.0,83.0564857582756
2018,14,16,9231,9779,19010,687220.0,70.2750792514572
2018,14,17,10534,13962,24496,848224.0,60.75232774674115
2018,14,18,11524,12415,23939,1073509.0,86.46870720902135
2018,14,19,9215,6319,15534,467645.0,74.00617186263649
2018,14,20,13254,10907,24161,1062204.0,97.38736591179976
2018,14,23,9872,8094,17966,599536.0,74.07165801828515
2018,15,1,6654,9049,15703,520702.0,57.5424908829705
2018,15,2,2267,3630,5897,287874.0,79.30413223140496
2018,15,3,908,3495,4403,117195.0,33.532188841201716
2018,15,4,16962,10382,27344,906468.0,87.31150067424389
2018,15,5,29913,15817,45730,1805693.0,114.16153505721692
2018,15,6,745,1700,2445,107039.0,62.96411764705882
2018,15,7,514,1785,2299,135735.0,76.04201680672269
2018,15,8,277,787,1064,84310.0,107.12833545108005
2018,15,9,22119,16511,38630,1771207.0,107.27436254618134
2018,15,13,467,2317,2784,129818.0,56.02848511005611
2018,15,14,216,1262,1478,68810.0,54.52456418383518
2018,15,15,678,2612,3290,164430.0,62.95176110260337
2018,15,16,0,149,149,52573.0,352.83892617449663
2018,16,1,9275,5285,14560,573596.0,108.53282876064333
2018,16,2,12920,14049,26969,1362080.0,96.95209623460744
2018,16,3,9067,5309,14376,702670.0,132.3544923714447
2018,16,4,6697,10016,16713,880594.0,87.91873003194888
2018,16,6,3384,10522,13906,508829.0,48.35858201862764
2018,16,7,9946,23688,33634,1316359.0,55.57071090847687
2018,16,8,8132,9520,17652,1038070.0,109.04096638655462
2018,16,9,9736,8620,18356,932534.0,108.18259860788864
2018,16,10,3354,11030,14384,487010.0,44.1532184950136
2018,16,11,13592,26335,39927,1125754.0,42.747446364154165
2018,16,12,18752,15628,34380,1867397.0,119.49046583056054
2018,16,13,3497,14195,17692,474229.0,33.408171891511095
2018,16,14,28873,20026,48899,2626118.0,131.13542394886647
2018,16,17,3946,2707,6653,415088.0,153.33875138529737
2018,16,18,8521,12566,21087,1166660.0,92.84259111889224
2018,16,19,5492,5746,11238,542390.0,94.39436129481378
2018,16,20,35935,26461,62396,3560907.0,134.5718982653717
2018,16,21,2328,9666,11994,628756.0,65.04821022139458
2018,16,22,11755,14080,25835,1591877.0,113.05944602272727
2018,16,23,0,825,825,74872.0,90.75393939393939
2018,16,24,3,20632,20635,1794501.0,86.97658976347421
2018,16,25,0,955,955,196319.0,205.5696335078534
2018,17,11,11941,14014,25955,999121.0,71.29449122306265
2018,17,13,131,62558,62689,9619741.0,153.7731545126123
2018,17,14,40335,22278,62613,1707782.0,76.65777897477332
2018,17,15,10246,19855,30101,2524021.0,127.12268949886679
2018,17,16,0,38133,38133,6657385.0,174.58330055332652
2018,17,17,8010,7907,15917,640018.0,80.94321487289743
2018,17,18,9717,15484,25201,1200494.0,77.5312580728494
2018,17,19,15849,19188,35037,1606282.0,83.71284135918282
2018,17,20,11001,13967,24968,1079022.0,77.25510131023125
2018,17,21,18201,23411,41612,1535259.0,65.57853145957029
2018,17,22,0,12784,12784,1825987.0,142.8337765957447
2018,17,23,11828,12472,24300,1139718.0,91.38213598460551
2018,17,24,7423,8874,16297,790967.0,89.13308541807528
2018,17,25,14500,17235,31735,1081470.0,62.748476936466496
2018,17,26,13712,16968,30680,1132792.0,66.76049033474776
2018,17,27,9000,10676,19676,1008637.0,94.47705133008617
2018,17,28,0,13400,13400,1920652.0,143.33223880597015
2018,17,29,10558,9444,20002,621734.0,65.83375688267684
2018,17,30,6840,11803,18643,1116255.0,94.57383716004405
2018,17,31,16821,61930,78751,9816887.0,158.51585661230422
2018,17,32,6618,13598,20216,588538.0,43.28121782615091
2018,17,33,2718,4483,7201,394597.0,88.0207450368057
2018,17,34,0,5020,5020,675293.0,134.52051792828686
2018,17,35,11065,11560,22625,1016750.0,87.95415224913495
2018,17,36,3816,6862,10678,421748.0,61.461381521422325
2018,17,37,2,10827,10829,2498650.0,230.77953264985683
2018,17,38,0,11394,11394,1416965.0,124.36062840091276
